キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
r,0.119,0.130,409.242
e,0.104,0.206,409.317
i,0.072,0.025,409.386
h,0.062,0.488,409.947
a,0.065,0.033,410.042
n,0.112,0.223,410.330
a,0.086,0.033,410.476
n,0.118,0.852,411.414
i,0.086,0.961,411.523
k,0.082,0.069,411.679
a,0.098,0.031,411.792
i,0.087,0.095,411.856
w,0.127,0.557,412.499
a,0.115,0.623,412.565
k,0.129,0.033,412.659
u,0.103,0.059,412.740
t,0.112,0.604,413.447
a,0.119,0.687,413.529
d,0.108,0.109,413.757
a,0.128,0.162,413.810
z,0.105,0.552,414.490
e,0.109,0.069,414.664
h,0.087,0.155,414.928
i,0.087,0.224,414.997
s,0.091,0.508,415.591
u,0.078,0.597,415.680
r,0.090,0.177,415.936
i,0.063,0.034,416.060
n,0.072,0.566,416.688
e,0.051,0.033,416.793
r,0.081,0.088,416.931
u,0.059,0.028,417.040
s,0.092,0.366,417.465
e,0.099,0.075,417.632
k,0.067,0.042,417.772
a,0.107,0.033,417.872
i,0.104,0.097,417.936
j,0.125,0.493,418.532
i,0.107,0.554,418.593
k,0.125,0.048,418.749
u,0.115,0.148,418.848
i,0.070,0.628,419.591
g,0.090,0.034,419.695
a,0.119,0.084,419.745
i,0.089,0.063,419.849
k,0.060,0.752,420.690
i,0.086,0.073,420.823
z,0.109,0.099,421.008
u,0.075,0.197,421.106
b,0.075,0.825,422.006
a,0.093,0.034,422.115
t,0.067,0.076,422.284
u,0.066,0.030,422.380
k,0.064,0.620,423.065
a,0.077,0.033,423.162
m,0.132,0.051,423.290
i,0.133,0.145,423.384
y,0.069,0.380,423.896
o,0.110,0.434,423.951
b,0.124,0.125,424.186
u,0.131,0.223,424.284
b,0.071,0.406,424.821
a,0.123,0.090,424.982
k,0.109,0.188,425.080
a,0.105,0.035,425.224
y,0.089,0.533,425.862
o,0.097,0.617,425.946
k,0.160,0.193,426.235
o,0.105,0.308,426.351
s,0.075,0.983,427.439
y,0.105,1.053,427.509
u,0.079,0.046,427.560
u,0.091,0.066,427.705
t,0.056,0.959,428.755
o,0.064,1.013,428.809
r,0.065,0.058,428.931
u,0.070,0.121,428.994
k,0.094,0.582,429.646
y,0.072,0.056,429.796
o,0.082,0.032,429.900
u,0.110,0.084,429.952
t,0.081,0.449,430.511
u,0.073,0.033,430.624
y,0.113,0.266,430.963
u,0.103,0.333,431.030
y,0.078,1.395,432.529
o,0.101,1.473,432.607
u,0.087,0.070,432.677
j,0.121,0.058,432.822
i,0.125,0.118,432.882
g,0.068,1.496,434.503
o,0.067,1.564,434.570
m,0.117,0.835,435.473
u,0.098,0.905,435.543
z,0.121,0.998,436.639
e,0.136,0.082,436.843
n,0.074,0.560,437.539
t,0.089,0.246,437.859
e,0.095,0.315,437.928
i,0.063,0.063,438.011
f,0.092,1.122,439.196
u,0.055,0.026,439.315
r,0.159,0.305,439.674
e,0.133,0.388,439.758
r,0.105,0.284,440.174
u,0.074,0.380,440.270
y,0.097,0.650,440.994
o,0.119,0.745,441.089
k,0.154,0.031,441.239
o,0.098,0.128,441.336
e,0.100,0.409,441.842
m,0.074,0.026,441.969
i,0.107,0.067,442.010
r,0.130,0.548,442.664
i,0.072,0.661,442.777
e,0.121,0.858,443.706
k,0.063,0.041,443.869
i,0.084,0.052,443.984
f,0.093,1.000,445.067
u,0.051,0.034,445.194
k,0.108,0.120,445.365
u,0.093,0.195,445.440
t,0.070,0.306,445.839
o,0.039,0.028,445.936
t,0.073,0.066,446.041
i,0.185,0.095,446.210
t,0.108,1.094,447.489
a,0.135,1.176,447.571
m,0.059,0.028,447.734
e,0.107,0.027,447.820
s,0.096,0.467,448.393
o,0.081,0.547,448.473
d,0.136,0.185,448.740
e,0.103,0.268,448.823
u,0.101,0.599,449.525
g,0.102,0.254,449.880
a,0.117,0.314,449.941
i,0.086,0.024,450.081
a,0.099,0.659,450.827
d,0.208,0.664,450.832
a,0.145,0.120,451.160
m,0.074,0.197,451.503
e,0.086,0.033,451.610
i,0.078,0.507,452.203
d,0.110,0.183,452.463
o,0.110,0.281,452.561
u,0.105,0.055,452.628
f,0.151,0.381,453.114
u,0.112,0.511,453.244
m,0.113,0.166,453.522
u,0.086,0.266,453.623
k,0.151,0.647,454.355
o,0.106,0.726,454.434
k,0.128,0.389,454.929
