キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
s,0.105,0.044,327.817
u,0.120,0.073,327.846
z,0.097,0.073,327.846
s,0.089,0.514,328.480
i,0.107,0.586,328.553
k,0.106,0.057,328.717
i,0.118,0.032,328.855
k,0.121,0.841,329.814
a,0.074,0.946,329.919
n,0.090,0.075,330.068
a,0.091,0.058,330.216
k,0.119,0.480,330.787
a,0.091,0.031,330.938
b,0.119,0.165,331.195
a,0.153,0.238,331.268
n,0.075,0.090,331.403
n,0.105,0.047,331.525
i,0.089,0.704,332.334
r,0.108,0.166,332.589
u,0.105,0.226,332.649
k,0.119,0.075,332.829
a,0.120,0.178,332.932
r,0.148,1.262,334.314
i,0.120,1.365,334.417
t,0.114,0.036,334.573
u,0.123,0.121,334.658
9,0.074,0.822,335.603
i,0.118,0.109,335.786
r,0.166,0.360,336.264
a,0.151,0.526,336.430
i,0.120,0.117,336.698
y,0.103,0.529,337.347
o,0.104,0.586,337.404
u,0.090,0.015,337.523
i,0.150,0.032,337.646
j,0.150,1.052,338.847
i,0.103,1.124,338.919
k,0.196,0.029,339.051
i,0.089,0.197,339.219
o,0.105,0.197,339.219
j,0.155,0.583,339.907
u,0.061,0.584,339.908
i,0.120,0.191,340.254
m,0.168,0.059,340.433
i,0.118,0.165,340.539
n,0.056,0.456,341.113
a,0.077,0.512,341.169
n,0.105,0.061,341.230
a,0.090,0.073,341.318
j,0.180,0.766,342.174
i,0.149,0.842,342.249
m,0.181,0.045,342.443
i,0.134,0.135,342.533
o,0.124,0.422,343.089
s,0.183,0.191,343.404
e,0.135,0.284,343.497
j,0.165,0.266,343.898
i,0.121,0.326,343.958
d,0.108,0.520,344.600
o,0.104,0.569,344.649
k,0.166,0.045,344.753
o,0.118,0.092,344.846
t,0.119,0.766,345.730
i,0.118,0.841,345.805
k,0.124,0.045,345.967
