キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
t,0.300,1.791,428.031
a,0.090,1.875,428.114
u,0.087,0.064,428.267
t,0.186,0.629,428.984
a,0.128,0.717,429.071
t,0.118,0.035,429.235
u,0.107,0.069,429.268
b,0.075,3.107,432.483
u,0.075,3.168,432.543
n,0.167,0.113,432.731
k,0.070,0.070,432.968
a,0.025,0.034,433.073
t,0.128,1.942,435.040
a,0.083,2.046,435.144
m,0.106,0.040,435.208
e,0.092,0.024,435.337
r,0.069,0.030,435.344
k,0.099,0.391,435.821
i,0.093,0.072,435.992
z,0.075,0.061,436.146
u,0.084,0.026,436.246
y,0.128,0.575,436.906
a,0.084,0.069,437.103
m,0.081,0.150,437.184
u,0.142,0.091,437.355
s,0.082,0.702,438.198
o,0.090,0.762,438.259
t,0.100,0.197,438.547
o,0.070,0.297,438.647
r,0.089,0.646,439.362
u,0.043,0.030,439.481
i,0.068,0.030,439.481
-,0.099,0.221,439.770
r,0.064,0.185,440.054
u,0.063,0.030,440.147
-,0.075,1.108,441.318
0,0.043,1.111,441.320
r,0.063,0.258,441.651
u,0.076,0.307,441.700
r,0.081,1.466,443.241
u,0.067,0.029,443.351
s,0.078,0.021,443.438
u,0.064,0.026,443.542
m,0.096,0.783,444.389
a,0.070,0.876,444.482
d,0.153,0.142,444.693
a,0.101,0.228,444.780
s,0.081,1.395,446.276
i,0.055,0.030,446.387
n,0.072,0.104,446.546
u,0.098,0.099,446.716
o,0.105,0.928,447.742
n,0.061,0.258,448.105
n,0.057,0.076,448.241
n,0.058,0.069,448.367
a,0.055,0.030,448.455
right,0.127,21.939,470.448
