キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
u,0.083,0.055,521.551
i,0.053,0.063,521.558
o,0.186,1.008,522.642
i,0.160,1.107,522.741
p,0.131,0.628,523.528
o,0.119,0.708,523.609
t,0.084,0.131,523.858
i,0.091,0.031,523.973
o,0.064,0.732,524.797
p,0.109,0.599,525.460
o,0.096,0.679,525.540
i,0.079,0.147,525.783
n,0.046,0.109,525.971
t,0.085,0.065,526.083
i,0.099,0.220,526.388
o,0.189,1.211,527.698
p,0.107,1.211,527.698
o,0.171,1.319,529.206
i,0.093,0.347,529.724
b,0.116,0.518,530.335
t,0.080,0.154,530.605
p,0.128,0.842,531.528
o,0.136,0.900,531.586
i,0.127,0.217,531.939
n,0.094,0.031,532.097
t,0.089,0.061,532.253
o,0.149,1.175,533.517
b,0.102,1.353,535.020
a,0.099,0.046,535.167
r,0.107,0.140,535.261
a,0.098,0.029,535.397
t,0.105,3.023,538.518
o,0.163,0.083,538.706
b,0.182,0.391,539.260
i,0.238,0.486,539.355
p,0.051,0.608,540.201
u,0.102,0.266,540.518
r,0.083,0.064,540.684
o,0.106,0.031,540.799
t,0.098,1.015,541.920
o,0.090,0.076,542.095
k,0.084,0.283,542.467
i,0.079,0.116,542.667
k,0.202,0.820,543.566
u,0.069,0.994,543.740
k,0.219,0.250,544.058
o,0.050,0.443,544.251
k,0.211,0.600,544.901
u,0.138,0.718,545.019
m,0.116,0.377,545.534
i,0.128,0.443,545.600
n,0.056,0.066,545.794
n,0.068,0.068,545.918
i,0.107,0.649,546.635
b,0.102,0.173,546.915
a,0.090,0.267,547.009
r,0.127,0.051,547.150
u,0.123,0.168,547.267
y,0.128,1.410,548.801
u,0.115,1.483,548.874
u,0.093,1.240,550.229
b,0.132,0.197,550.519
i,0.102,0.277,550.599
n,0.066,0.086,550.787
n,0.081,0.067,550.920
j,0.125,0.563,551.565
i,0.122,0.633,551.635
d,0.120,0.189,551.947
a,0.075,0.023,552.090
i,0.090,0.089,552.156
b,0.130,0.614,552.861
i,0.119,0.695,552.942
z,0.102,0.072,553.132
a,0.113,0.028,553.263
t,0.121,1.020,554.396
e,0.114,0.165,554.683
w,0.078,0.166,554.684
i,0.087,0.087,554.885
u,0.110,1.004,555.976
e,0.107,0.059,556.144
r,0.100,0.032,556.284
u,0.087,0.044,556.428
t,0.084,1.172,557.687
i,0.093,1.037,558.808
s,0.079,0.121,559.022
i,0.078,0.040,559.141
k,0.081,0.199,559.418
i,0.086,0.100,559.598
k,0.083,0.567,560.251
a,0.079,0.031,560.365
j,0.139,0.110,560.554
